WS,,,,,,,,CS,,,,,,,,,,,,,,CSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,Session,CSP,FBCSP,FBCNet,eegNet,deep ConvNets,,"       Session
Subject",eegNet,,,,deep ConvNets,,,,FBCNet,,,,,"     Session
Subject  ",0%,,,,,30%,,,,,50%,,,,,70%,,,,,90%,,,,,100%,,,,
1,1,0.55,0.73,0.78,0.57,0.6,,,2,3,4,5,2,3,4,5,2,3,4,5,,,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
,2,0.47,0.62,0.63,0.55,0.5,,1,0.47,0.465,0.566,0.5,0.46,0.515,0.505,0.404,0.48,0.495,0.505,0.532,,1,0.6,0.51,0.576,0.474,0.52,0.6,0.63,0.566,0.544,0.527,0.57,0.52,0.757,0.607,0.514,0.57,0.5,0.807,0.557,0.556,0.58,0.71,0.908,0.517,0.82,0.58,0.69,0.888,0.776,0.568
,3,0.566,0.688,0.678,0.617,0.568,,2,0.579,0.48,0.63,0.663,0.558,0.44,0.54,0.621,0.579,0.46,0.5,0.495,,2,0.5,0.538,0.5,0.51,0.621,0.49,0.6,0.55,0.61,0.747,0.816,0.806,0.71,0.77,0.728,0.654,0.569,0.71,0.85,0.924,0.97,0.603,0.75,0.93,0.927,0.97,0.558,0.81,0.93,0.97
,4,0.749,0.809,0.85,0.476,0.507,,3,0.52,0.554,0.63,0.48,0.59,0.489,0.54,0.5,0.5,0.522,0.5,0.48,,3,0.543,0.49,0.543,0.52,0.51,0.683,0.69,0.489,0.59,0.62,0.607,0.79,0.511,0.57,0.61,0.748,0.59,0.684,0.64,0.66,0.468,0.64,0.719,0.59,0.65,0.74,0.93,0.723,0.58,0.92
,5,0.587,0.689,0.707,0.529,0.447,,4,0.629,0.527,0.51,0.53,0.505,0.549,0.46,0.55,0.423,0.505,0.42,0.5,,4,0.564,0.609,0.593,0.58,0.47,0.544,0.617,0.647,0.63,0.51,0.553,0.718,0.659,0.71,0.71,0.507,0.734,0.56,0.75,0.63,0.851,0.66,0.724,0.55,0.92,0.831,0.926,0.571,0.94,0.9
2,1,0.738,0.871,0.761,0.87,0.86,,5,0.59,0.441,0.525,0.438,0.41,0.452,0.556,0.438,0.51,0.527,0.525,0.517,,5,0.522,0.54,0.471,0.516,0.429,0.454,0.94,0.609,0.578,0.539,0.546,0.93,0.564,0.556,0.597,0.467,0.95,0.592,0.606,0.763,0.488,0.98,0.783,0.666,0.829,0.846,0.97,0.809,0.666,0.908
,2,0.782,0.918,0.55,0.549,0.733,,6,0.628,0.484,0.793,0.663,0.585,0.453,0.815,0.642,0.511,0.495,0.587,0.484,,6,0.778,0.652,0.486,0.748,0.684,0.832,0.907,0.84,0.922,0.822,0.906,0.968,0.914,0.889,0.903,0.819,0.968,0.958,0.846,0.936,0.949,0.958,0.958,0.967,0.958,0.949,0.883,0.874,0.978,0.969
,3,0.6,0.51,0.61,0.55,0.52,,7,0.5,0.573,0.587,0.57,0.49,0.573,0.554,0.51,0.5,0.521,0.543,0.56,,7,0.49,0.46,0.52,0.533,0.58,0.6,0.51,0.46,0.476,0.74,0.56,0.57,0.491,0.543,0.8,0.55,0.73,0.584,0.452,0.82,0.84,0.87,0.698,0.676,0.84,0.86,0.47,0.659,0.774,0.85
,4,0.84,0.85,0.95,0.82,0.94,,8,0.5,0.506,0.49,0.45,0.553,0.551,0.469,0.51,0.479,0.618,0.5,0.51,,8,0.53,0.562,0.607,0.52,0.5,0.69,0.657,0.811,0.51,0.49,0.69,0.72,0.899,0.406,0.49,0.72,0.65,0.943,0.55,0.52,0.86,0.622,0.833,0.47,0.69,0.77,0.778,0.978,0.553,0.54
,5,0.758,0.83,0.829,0.751,0.824,,9,0.48,0.53,0.521,0.525,0.52,0.52,0.5,0.515,0.5,0.48,0.521,0.465,,9,0.5,0.54,0.53,0.523,0.446,0.612,0.53,0.54,0.532,0.504,0.66,0.77,0.58,0.64,0.754,0.638,0.88,0.8,0.521,0.827,0.722,0.7,0.85,0.532,0.646,0.673,0.92,0.86,0.602,0.536
